Order,Family,Genus,Volt,Sync,Emer1,Emer2,Fe_disp,Flgt,Size,Resp,Rheo,Ther,Loco1,Loco2,Feed1,Feed2,Devl,Adult_life,Exit,Desi,Drft,Crwl,Swim,Atch,Armr,Form,Sali,Ovip_beha,Egg,pH,Fecu,Micro,Diap,Turb,Disp_dis,Disp,Total_life,Sapr,Trop,Dist,Repr,Food,Meta,Ovip,Disp_capa,Flex
Ephemeroptera,Ameletidae,Ameletus,2,1,1,2,1,1,2,2,2,1,4,1,2,2,1,2,1,1,1,3,3,1,1,4,1,NA,3,1,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Baetidae,Alainites,3,1,2,3,1,1,1,2,2,4,4,4,2,4,1,1,1,1,2,1,3,1,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,1
Ephemeroptera,Baetidae,Baetiella,3,1,2,3,1,1,1,2,2,4,4,4,2,4,1,1,1,1,2,1,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,1
Ephemeroptera,Baetidae,Baetis,3,1,1,3,1,1,1,2,3,1,4,4,2,4,1,1,1,2,3,1,3,1,1,4,1,8,2,NA,3,4,1,3,3,2,1,3,NA,NA,2,1,2,1,NA,1
Ephemeroptera,Baetidae,Bungona,3,1,2,3,1,2,3,3,3,4,4,4,5,4,3,1,1,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,1
Ephemeroptera,Baetidae,Liebebiella,3,1,2,3,1,1,1,2,2,4,4,4,2,4,1,1,1,1,2,1,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,1
Ephemeroptera,Baetidae,Nigrobaetis,3,1,2,3,1,1,1,2,2,4,4,4,2,4,1,1,1,1,2,1,3,1,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,2,1,NA,1
Ephemeroptera,Caenidae,Brachycercus,2,1,2,2,1,1,1,2,1,2,1,NA,2,3,2,1,1,1,1,2,2,1,1,2,1,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Caenidae,Caenis,3,1,2,3,1,1,1,2,1,2,1,1,2,4,2,1,1,1,1,2,2,1,1,2,1,NA,NA,NA,2,2,1,NA,2,1,NA,3,2,2,2,1,2,NA,NA,NA
Ephemeroptera,Ephemerellidae,Cinticostella,2,NA,1,3,NA,2,2,2,3,3,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Ephemerellidae,Drunella,2,1,2,2,1,1,2,2,3,1,1,1,4,4,2,1,1,1,1,2,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Ephemeroptera,Ephemerellidae,Ephacerella,2,NA,1,3,NA,2,2,2,3,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
