"","Taxagroup","Family","Subfamily","Taxon","gra","min","xyl","shr","gat","aff","pff","pre","par","oth"
"1","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus acutiventris acutiventris",0,0,0,0,7,3,0,0,0,0
"2","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus acutiventris bavaricus",0,0,0,0,7,3,0,0,0,0
"3","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus anthracinus",0,0,0,0,7,3,0,0,0,0
"4","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus aprilinus",3,0,0,0,4,0,3,0,0,0
"5","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus balatonicus",0,0,0,0,7,3,0,0,0,0
"6","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus bernensis",0,0,0,0,7,3,0,0,0,0
"7","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus cingulatus",3,0,0,0,4,0,3,0,0,0
"8","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus dorsalis",0,0,0,0,9,1,0,0,0,0
"9","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus luridus",3,0,0,0,4,0,3,0,0,0
"10","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus melanescens",0,0,0,0,9,1,0,0,0,0
"11","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus obtusidens",0,0,0,0,7,3,0,0,0,0
"12","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus pallidivittatus",3,0,0,0,7,0,0,0,0,0
"13","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus plumosus",0,0,0,0,6,4,0,0,0,0
"14","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus riparius",0,0,0,0,7,3,0,0,0,0
"15","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus salinarius",3,0,0,0,4,0,3,0,0,0
"16","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Chironomus tentans",0,0,0,1,6,3,0,0,0,0
"17","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cladopelma virescens",1,0,0,0,8,0,0,1,0,0
"18","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cladopelma viridulum",1,0,0,0,8,0,0,1,0,0
"19","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus defectus",0,0,0,0,4,0,0,6,0,0
"20","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus obreptans",0,0,0,0,4,0,0,6,0,0
"21","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus psittacinus",0,0,0,0,2,0,0,8,0,0
"22","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus redekei",0,0,0,0,2,0,0,8,0,0
"23","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus rostratus",0,0,0,0,4,0,0,6,0,0
"24","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Cryptochironomus supplicans",0,0,0,0,4,0,0,6,0,0
"25","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Demeijerea rufipes",0,0,0,0,0,0,0,0,10,0
"26","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Demicryptochironomus vulneratus",0,0,0,0,5,0,0,5,0,0
"27","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Dicrotendipes lobiger",4,0,0,0,3,3,0,0,0,0
"28","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Dicrotendipes modestus",2,0,0,0,5,3,0,0,0,0
"29","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Dicrotendipes nervosus",4,0,0,0,3,3,0,0,0,0
"30","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Dicrotendipes notatus",4,0,0,0,3,3,0,0,0,0
"31","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Dicrotendipes tritomus",4,0,0,0,3,3,0,0,0,0
"32","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Einfeldia dissidens",0,0,0,0,8,2,0,0,0,0
"33","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Einfeldia pagana",0,0,0,0,8,2,0,0,0,0
"34","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Endochironomus albipennis",2,1,0,0,1,6,0,0,0,0
"35","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Endochironomus tendens",1,1,0,0,1,7,0,0,0,0
"36","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Fleuria lacustris",0,0,0,0,10,0,0,0,0,0
"37","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Glyptotendipes barbipes",0,0,0,0,8,2,0,0,0,0
"38","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Glyptotendipes cauliginellus",2,1,0,0,1,6,0,0,0,0
"39","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Glyptotendipes glaucus",2,1,0,0,1,6,0,0,0,0
"40","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Glyptotendipes pallens",2,1,0,0,1,6,0,0,0,0
"41","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Glyptotendipes paripes",2,0,0,0,5,3,0,0,0,0
"42","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Harnischia curtilamellata",1,0,0,0,8,0,0,1,0,0
"43","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Harnischia fuscimanus",1,0,0,0,8,0,0,1,0,0
"44","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Kiefferulus tendipediformis",0,0,0,0,8,2,0,0,0,0
"45","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Lauterborniella agrayloides",0,0,0,0,10,0,0,0,0,0
"46","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Microchironomus deribae",0,0,0,0,10,0,0,0,0,0
"47","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Microchironomus tener",0,0,0,0,10,0,0,0,0,0
"48","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Microtendipes britteni",1,0,0,0,7,2,0,0,0,0
"49","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Microtendipes chloris",1,0,0,0,7,2,0,0,0,0
"50","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Microtendipes diffinis",1,0,0,0,7,2,0,0,0,0
"51","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Pagastiella orophila",0,0,0,0,10,0,0,0,0,0
"52","Chironomidae","CHIRONOMIDAE","CHIRONOMINAE-Tribus Chironomini","Parachironomus frequens",3,0,0,0,2,0,0,0,5,0
