v.19.2.18,,,Trait category,MORPHOLOGY,,,,,LIFE HISTORY,,,,LIFE HISTORY,,,LIFE HISTORY,,LIFE HISTORY,,,,,LIFE HISTORY,,,LIFE HISTORY,,,,LIFE HISTORY,,,MOBILITY,,,MOBILITY,,,,MORPHOLOGY,,,MORPHOLOGY,,,,RESOURCE ACQUISITION,,,,,,RESOURCE ACQUISITION,,,MORPHOLOGY,,,,LIFE HISTORY,,
,,,Biological traits,Maximum potential size,,,,,Maximum number of descendants per reproductive cycle,,,,Maximum number of reproductive cycles per year,,,Number of reproductive cycles per individual,,Life duration of adults includes,,,,,Reproductive technique,,,Oviposition Site,,,,Egg/egg mass,,,Dissemination potential (all stages),,,Attachment to substrate of aquatic stages (excluding eggs),,,,Body flexibility,,,Body form,,,,Feeding habits,,,,,,Dietary preferences,,,Respiration of aquatic stages (not including eggs),,,,Aquatic stages,,
,,,Code,SIZE1,SIZE2,SIZE3,SIZE4,SIZE5,DESC1,DESC2,DESC3,DESC4,SEMI,UNIV,PLURIV,CPI1,CPI2,LDA1,LDA2,LDA3,LDA4,LDA5,SINGLE,HERMA,TWO,SURFACE,SUBMERGED,TERRESTRIAL,EGGENDO,EGGFREE,EGGCEMENT,EGGPROTECTED,DISSLOW,DISSMEDIUM,DISSHIGH,SWIMMER,CRAWLER,BURROWER,ATTACHED,NOFLEX,LOWFLEX,HIGHFLEX,STREAMLINED,FLATTENED,CYLINDRICAL,SPHERICAL,SHREDDER,SCRAPER,DEPOSIT,FILTERFEED,PREDATOR,ALGALP,SPECIALIST,MODERATESPE,GENERALIST,TEGUMENT,GILL,PLASTRON,AERIAL,ADUANDLAR,ADUORLAR,LARANDPUP
Order,Family,Genus or Higher,Taxon/trait modality,<=5 mm,>5-10 mm,>10-20 mm,>20-40 mm,>40 mm,<=100,>100-1000,>1000-3000,>3000,semivoltine,univoltine,plurivoltine,1,> or =2,<=1 day,>1-10 days,>10-30 days,>30-365days,>365 days,single individual,hermaphrodism,male and female,water surface,submerged,terrestrial,eggs endophytic,free,cemented ,female bears eggs in/on body,low (10 m),medium (1 km),high (>1km),swimmers (water column),crawlers (epibenthic),burrowers (infauna),attached,none (<10°),low (>10-45°),high (>45°),streamlined,flattened (dorso-ventral or lateral),cylindrical,spherical,shredders,scrapers,deposit-feeders,filter-feeders,predator,algal piercer,strong (specialist),moderate,weak (generalist),tegument,gills,plastron,aerial,"Adult, larva",Adult or larva,"Larva, Pupa"
Acarina,Acarina,Acarina,Acarina,3,1,0,0,0,0,3,0,0,0,0,3,3,1,0,0,0,3,0,0,0,3,0,3,0,2,0,3,0,0,2,2,3,3,0,1,3,0,0,0,2,0,3,0,0,0,0,3,0,2,2,0,3,0,0,1,3,0,0
Bryozoa,Bryozoa,Bryozoa,Bryozoa,2,2,2,3,3,0,0,0,3,0,0,3,0,3,0,0,0,2,3,3 buds,3 sexual,0,0,3,0,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,0,3 polyps ?,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0
Coleoptera,Dytiscidae,Antiporus,Antiporus,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,1,0,0,3,0,3,0,3,3,0,0,0,2,2,3,3,0,0,2,2,0,2,0,2,0,0,0,0,0,3,0,0,2,2,2,0,0,3,3,0,0
Coleoptera,Hydrophilidae,Berosus,Berosus,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,2,2,2,3,0,0,2,2,0,1,2,0,0,0,3,0,0,3,0,0,2,2,1,3,3,0,3,0,0
Coleoptera,Ptilodactylidae,Byrrhocryptus,Byrrhocryptus urquharti,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,2,0,2,0,2?,3,2?,0,0,0,0,0,3,3,0,0,0,0,3,1
Coleoptera,Curculionidae,Curculionidae,Curculionidae,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,0,2,2,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,2,0,0,3,0,3,1
Coleoptera,Dytiscidae,Dytiscidae,Dytiscidae,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,1,0,0,3,0,3,0,3,2,2?,0,0,2,2,3,2,0,0,2,2,0,2,2,2,0,0,0,0,0,3,0,0,2,2,2,0,3,0,3,0,0
Coleoptera,Elmidae,Elmidae,Elmidae,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,3,0,2,2,0,2,2?,0,0,2,2,0,3,0,0,3,3,0,2,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0
Coleoptera,Hydrophilidae,Enochrus,Enochrus,2,2,0,0,0,2,2,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,0,0,0,0,3,0,0,0,3,2,0,3,0,3,0,0
Coleoptera,Gyrinidae,Gyrinidae,Gyrinidae,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,2,3,0,0,0,0,3,0,3,0,0,0,3?,0,0,2,2,3,2,0,0,2,2,0,2,0,2,0,0,0,0,0,3,0,0,3,0,0,3,3,0,3,0,0
Coleoptera,Dytiscidae,Onychohydrus,Onychohydrus,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,1,0,0,3,0,3,0,3,3,0,0,0,2,2,3,3,0,0,2,2,0,2,2,2,0,0,0,0,0,3,0,0,0,3,2,0,3,0,3,0,0
Coleoptera,Hydrophilidae,Hydrophilidae,Hydrophilidae,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,3,0,3,0,2,0,2,2,2,2,1,0,2,2,0,2,2,0,0,0,2,0,0,3,0,0,2,2,2,0,3,0,3,0,0
Coleoptera,Hydrophilidae,Laccobius,Laccobius arrowi,3,0,0,0,0,2,2,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,2,2,3,2,0,0,2,2,0,2,2,0,0,0,2,0,0,3,0,0,0,3,2,0,3,0,3,0,0
Coleoptera,Dytiscidae,Liodessus,Liodessus,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,1,0,0,3,0,3,0,3,3,0,0,0,2,2,3,2,0,0,2,2,0,2,0,3,2,0,0,0,0,3,0,0,2,2,2,0,3,0,3,0,0
Coleoptera,Hydraenidae,Orchymontia,Orchymontia,3,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,2,2,0,0,0,3,0,3,0,0,0,3,0,2,2,0,0,3,0,0,2,2,0,0,1,1,0,2,2,2,0,0,0,0,2,2,2,0,3,0,3,3,0
Coleoptera,Dytiscidae,Phreatodessus,Phreatodessus,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,0,3?,0,0,2,2,3,2,0,0,2,2,0,2,0,2,0,0,0,0,0,3,0,2?,2,0,3,0,3,0,3,0,0
Coleoptera,Dytiscidae,Rhantus,Rhantus,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,2,2,3,0,0,0,2,2,0,3,2,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0
Coleoptera,Scirtidae,Scirtidae,Scirtidae,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,2,2,0,0,0,0,3,0,0,3,0,0,3,0,0,2,2,0,3,2,0,0,3,1,0,2,3,0,2,2,2,1,0,0,0,2,2,2,3,0,0,0,3,0
Coleoptera,Staphylinidae,Staphylinidae,Staphylinidae,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,2,2,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,3,0,0,2,2,0,0,0,3,1,0,0
Crustacea,Amphipoda,Amphipoda,Amphipoda,1,3,1,0,0,3,0,0,0,0,3,3,3,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,3,2,3,0,1,3,2,0,0,3,0,0,3,1,0,0,3,3,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Amphipoda/Ceinidae,Chiltonia,Chiltonia,2,2,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,2,2,0,1,3,2,0,0,3,0,0,3,1,0,0,3,2,0,0,0,0,0,3,0,3,0,0,3,0,0
Crustacea,Cladocera,Cladocera,Cladocera,3,1,0,0,0,3,1,0,0,0,0,3,0,3,0,0,3,3,0,3,0,2,0,2,0,0,3,0,3,3,2,1,2,2,2,0,3,0,0,0,3,0,3,0,3,0,3,0,0,0,0,3,3,0,0,0,3,0,0
