Order,Family,Genus,Species,Taxon,Taxon Rank,Maximum body size (mm),Measured body size (mm),Maximum body size (mm) - comment,Body shape,Body shape - comment,Body shape case,Body shape case - comment,Mobility,Mobility - comment,Attachment mechanism,Attachment mechanism - comment,Respiration,Respiration - comment,Functional feeding group (FFG) (Schael 2006),FFG - comment,Habitat preference,Habitat preference - comment,Velocity preference (m s-1),Velocity preference (m s-1) - comment,Depth preference (m),Depth preference (m) - comment,Hydraulic habitat preference,Hydraulic habitat preference - comment,Water quality preference/sensitivity (SASS5 scores) - comment,Water quality preference/sensitivity (SASS5 scores) - comment,Mode of dispersal,Mode of dispersal - comment,"Dispersal potential - non-adult stages e.g. larva, pupa, nymph (distance in metres)","Dispersal potential - non-adult stages e.g. larva, pupa, nymph (distance in metres) - comment",Dispersal potential - adult (distance),Dispersal potential - adult (distance) - comment,Emergence season,Emergence season - comment ,Emergence duration,Emergence season - comment,Preferred reproductive period,Preferred reproductive period - comment,No. of offspring per reproductive event ,No. of offspring per reproductive event - comment ,Potential No. of generation per year (voltinism),Potential No. of generation per year (voltinism) - comment,Reproduction type ,Reproduction type - comment,Reproduction type - number of egg mass,Reproduction type - number of egg mass - comment,Aquatic stage,Aquatic stage - comment,Age to maturity (development time/speed),Age to maturity (development time/speed) - comment,Adult life span ,Adult life span - comment,Diapause,Diapause - comment,Drift,Drift - comment,Exit water temporarily,Exit water temporarily - comment,Resistance form/strategy,Resistance form/strategy - comment,Oviposition behaviour,Oviposition behaviour - comment,Body armour,Body armour - comment,pH preference,pH preference - comment,Stream zonation preference,Stream zonation preference - comment,Biological distribution/endemism,Biological distribution/endemism - comment,Thermal preference,Thermal preference - comment,Critical thermal maxima (⁰C),Critical thermal maxima - comment,Incipient lethal upper limit,Incipient lethal upper limit - comment,Optimal temperature of emergence (⁰C),Optimal temperature of emergence (⁰C) - comment,Turbidity preference,Turbidity preference - comment ,Trophic status preferences,Trophic status preferences - comment,Saprobic preference,Saprobic preference - comment,,
,,,,,,Very small (≤ 5),,,Streamlined,,,,Climber,,Presence of structure for attachment to substrate (specify),,Gills,,Deposit feeder 1,,Vegetation,,Very fast flowing (> 0.6),,Shallow (≤ 0.5),,Riffles,,Highly sensitive (12–15),,Aquatic passive,,≤ 10,,≤ 10,,Winter,,Short (Few hours to > 15 days),,Winter,,< 100,,1 (Univoltine),,Free isolated eggs,,1 egg mass,,Egg,,≤ 1 day,,≤ 1 day,,Yes,,Strong (active and often),,Yes,,"Eggs, gemmule, statoblast, shell",,Wet woods,,Hard-shell,,Acidic,,Mountain/headwater stream,,Widespread,,Cold stenotherm (preference for a small cold temperature range (below 18 °C); ,,,,23.9,,≤ 5,,Clear and transparent,,Oligotrophic,,Xenosaprobic,,,
,,,,,,Small (5–10),,,Flattened,,,,Crawler,,Free living,,Tegument/Cutaneous,,Predator 1,,"Gravel, sand and mud",,Moderately fast flowing (0.3–0.6),,Moderate (0.5–1) ,,Pools,,Moderately sensitive (7–11),,Aquatic active,,10–100,,10–100,,Autumn,,Long (longer than 15 days),,Autumn,,100–1 000,,2 (Bivoltine),,Clutches (cemented or attached),,2 egg masses,,Larva,,1 day - 1 week,,1–10 days,,No,,Medium (passive/occasional),,No,,Cocoons,,Debris,,Completely sclerotised ,,Neutral,,Upper foothill,,Regional endemic,,Warm stenotherm (preference for a small warm temperature range (above 18 °C),,,,31.4,,5–10,,Silty,,Mesotrophic,,Oligosaprobic,,,
,,,,,,Medium (10–20),,,Spherical,,,,Sprawler,,Temporary attachment,,Aerial: spiracle,,Predator 2,,Stones,,Slow flowing (0.1–0.3),,Deep (1–2),,Runs,,Moderately tolerant (4–6),,Aerial passive,,100–1 000,,100–1 000,,Summer,,Unknown,,Summer,,1 000–2 000,,> 2 (Multivoltine),,Free clutches,,> 2 egg masses,,Nymph,,1 week - 1 month,,10–30 days,,,,Weak (rarely),,Unknown,,Cells against desiccation,,Submerged stones,,Partly sclerotised,,Alkaline,,Lower foothill/lowland,,Micro endemic,,Eurytherm (no specific preference; wide temperature range),,,,,,10–20,,Opaque,,Eutrophic,,β-mesosaprobic,,,
,,, ,,,Large (20–40),,,Cylindrical/Tubular,,,,Skater,,Permanent attachment,,"Aerial/vegetation: breathing tube, straps/other apparatus ",,Filter feeder,,Water (surface and subsurface),,Very slow flowing/still (< 0.1),,Very deep (> 2),,Rapid,,Highly tolerant (1–3),,Aerial active ,,1 000–10 000,,1 000–10 000,,Spring,,,,Spring,,2 000–4 000,,> 1 year per generation (Semivoltine),,Endophytic clutches,,,,Pupa,,1–6 months,,30–90 days,,,,Unknown,,,,Diapause or quiescence,,Bottom sediments,,Soft and exposed,,Indifferent,,No preference,,,,,,,,,,20–30,,No preference,,Hypertrophic (Mesohumic),,α-mesosaprobic,,,
,,,,,,Very large (> 40),,,Ovate,,,,Burrower,,,,Aerial: lungs,,Deposit feeder 2,,Indifferent,,Indifferent ,,Indifferent,,Indifferent ,,,,,,> 10 000,,> 10 000,,All Year,,,,No preference,,4 000–6 000,,Partial-voltinism,,Terrestrial clutches,,,,Adult (imago),,6 months - 1 year,,90–365 days,,,,,,,,None,,Free-floating,,Case,,,,,,,,,,,,,,> 30,,,,Hypertrophic (Polyhumic),,Polysaprobic,,,
,,,,,,Variable,,,Others - specify,,,,Swimmer,,,,Plastron,,Shredder,,Sand,,,,,,,,,,,,Unknown,,Unknown,,,,,,,,> 6 000,,Variable,,Asexual reproduction,,,,"Egg, Nymph",,1 year,,> 365 days,,,,,,,,Deeper penetration in substrate during dryness,,Vegetation (macrophyte),,,,,,,,,,,,,,,,,,,,,,Indifferent,,,
,,,,,,,,,,,,,Walker,,,,Respiratory pigment e.g. Haemoglobin,,Scraper 1,,Mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egg, Larva, Pupa",,,,,,,,,,,,,,Algal mats,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Other,,,,Spiracles,,Scraper 2,,Gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,,,,,Wide preference,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Grazer 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over-hanging substrate (dry),,,,,,,,,,,,,,,,,,,,,,,,,
