"","label","Order","predator_Marchant","detritivore_Marchant","grazer_Marchant","shredder_Marchant","filterer_Marchant","Trop1_botwe","Trop2_botwe","Trop3_botwe","Trop4_botwe","Trop5_botwe","C_Maxwell","P_Maxwell","SH_Maxwell","C_SH_Maxwell","SC_Maxwell","PA_Maxwell","C_SC_Maxwell","F_Maxwell","Shredder_proportion_of_feeding_genus_Chessman2017","Scraper_proportion_of_feeding_genus_Chessman2017","Predator_proportion_of_feeding_genus_Chessman2017","Gatherer_proportion_of_feeding_genus_Chessman2017","Filterer_proportion_of_feeding_genus_Chessman2017"
"1","Cosmioperla","Plecoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cosmioperla","Plecoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0
"3","Batrachomatus","Coleoptera",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Batrachomatus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"5","Hydaticus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Hydaticus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"7","Liodessus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0
"8","Limbodessus","Coleoptera",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"9","Limbodessus","Coleoptera",1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Limbodessus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
